id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
226,Nathalis iole,Pieridae,Coliadinae,"Small, with elongated forewings. Upperside yellow with black markings, female with more extensive black than male. White form very rare. Underside of forewing with orange or yellow patch at base of wing and black spots at outer wing edge. Winter form has dusty green hindwing, summer form hindwing is pale yellow.",3/4 - 1 1/4 inches (2 - 3.2 cm).,"Low-growing plants in the aster family (Asteraceae) especially shepherd's needle (Bidens pilosa), sneezeweed (Helenium), fetid marigold (Dyssodia), and cultivated marigold (Tagetes).","Nectars at Labrador tea, asters, wild marigold, rabbitbrush, and others.","Open, dry places including coastal flats, weedy fields, grasslands, road edges, meadows, and hillsides.","Throughout the year in peninsular Florida and South Texas. After overwintering as adults in the South, some migrate north in spring and summer. Flight of about 6 months in the north.","Resident in Guatemala north to peninsular Florida and the Southwest. Cannot survive cold winters, therefore every summer re-colonizes through the Great Plains to southeast Washington, southeast Idaho, Wyoming, and Minnesota."
227,Neominois ridingsii,Nymphalidae,Satyrinae,Upperside is gray with cream-colored patches across both wings; forewing has 2 black spots. Underside is similar but lighter.,1 1/2 - 2 3/16 inches (3.8 - 5.6 cm).,Blue grama grass (Bouteloua gracilis).,"When adults feed, which is infrequently, they favor nectar of yellow composites.","Short-grass prairie, intermountain areas, and grasslands with some areas of bare soil.",One brood from June-July.,"Southern Alberta east to southwest Manitoba, south to central Arizona and central New Mexico, west to eastern California."
228,Neonympha areolatus,Nymphalidae,Satyrinae,Upperside is brown with no markings. Underside of hindwing has a row of elongated submarginal eyespots which are encircled by a red line.,1 7/16 - 1 15/16 inches (3.7 - 4.9 cm).,Probably sedges (Cyperaceae).,Not reported.,Grassy openings in sandy pinewoods or pine barrens.,One brood from June-July in New Jersey; two broods from April-September in most of the range; many broods through most of the year in Florida.,"Southeastern United States from southern Virginia south along the Atlantic Coast to the Florida Keys, west to southeastern Oklahoma and southeastern Texas."
229,Neonympha mitchellii,Nymphalidae,Satyrinae,Small and fragile with translucent wings. Underside of both wings with yellow-rimmed black submarginal eyespots.,1 3/8 - 1 3/4 inches (3.5 - 4.5 cm).,Sedges and bulrush.,Not reported.,"Sedge swamps, marshes.",Flight lasts only about 10 days in late June to early July.,"Isolated populations in southern Michigan, northern Indiana, northern New Jersey, and south-central North Carolina."
230,Neophasia menapia,Pieridae,Pierinae,Upperside of forewing has a mostly all white cell and black band along costal margin. Underside of hindwing has black veins. Female resembles male but is duller; hindwings often with red edges and tinged with yellow.,1 3/4 - 2 1/4 inches (4.5 - 5.8 cm).,"Needles of various conifers including pines (Pinus species), Douglas-fir (Pseudotsuga menziesii), and true firs (Abies species).","Flower nectar including rabbitbrush, other yellow-flowered composites, and monarda.",Western coniferous forests.,One flight June-September.,"British Columbia east to Alberta, south through Rocky Mountain states and California to Mexico; range just extends into western South Dakota and western Nebraska."
231,Neophasia terlooii,Pieridae,Pierinae,"Male is white and female is orange. On both, the upperside of forewing has black cell and costal margin; tip of wing is black with white spots.",1 3/4 - 2 1/4 inches (4.5 - 5.8 cm).,"Conifers, particularly western yellow pine (Pinus ponderosa).",Not reported.,Pine forests.,"Two flights, June-July and September-November (most common).",Arizona high mountains south into Mexico.
232,Nymphalis antiopa,Nymphalidae,Nymphalinae,"Short projections on both wings, borders irregular. Upperside is purple-black with a wide, bright yellow border on outer margins, and a row of iridescent blue spots at the inner edge of the border.",2 1/4 - 4 inches (5.7 - 10.1 cm).,"Willows including black willow (Salix nigra), weeping willow (S. babylonica), and silky willow (S. sericea); also American elm (Ulmus americana), cottonwood (Populus deltoides), aspen (P. tremuloides), paper birch (Betula papyrifera), and hackberry (Celtis occidentalis). Older caterpillars wander about and may be found on plants that they do not eat.","Mourning Cloaks prefer tree sap, especially that of oaks. They walk down the trunk to the sap and feed head downward. They will also feed on rotting fruit, and only occasionally on flower nectar.","Because Mourning Cloaks roam and migrate, they are found almost anywhere that host plants occur including woods, openings, parks, and suburbs; and especially in riparian areas.",Usually one flight from June-July.,All of North America south of the tundra to central Mexico; rarely in the Gulf States and peninsular Florida. Also native to temperate Eurasia. Comments: Adults live 10-11 months and may be our longest lived butterfly.
233,Nymphalis vaualbum,Nymphalidae,Nymphalinae,"Upperside is orange-brown with darker wing bases and black spots; a single white spot on leading edge of each wing. Underside is mottled gray and brown, with dark bases and borders; hindwing with small white V at outer end of cell.",2 1/2 - 3 1/16 inches (6.4 - 7.8 cm).,"Aspen and cottonwood (Populus), willows (Salix), gray birch (Betula populifolia), and paper birch (B. papyrifera).","Sap, rotting fruit, nectar of willow flowers.",Upland deciduous or coniferous forests.,"One brood lay eggs of the next generation, which flies from July-November before hibernating.","Southeast Alaska and Canada south in the mountains to Montana and Wyoming; east across southern Canada and the northern United States to New England; south to North Carolina and Missouri. Rare migrants to Newfoundland, Nebraska, and Florida. This species is also found in temperate Eurasia."
234,Oarisma garita,Hesperiidae,Hesperiinae,Upperside ranges from orange to black. Underside of forewing is orange; hindwing is light brown with orange on the inner edge.,3/4 - 1 3/16 inches (1.9 - 3 cm).,Various grasses including bluegrass (Poa pratensis) and blue grama (Bouteloua gracilis).,Flower nectar.,"Short-grass prairie knolls, swales, limestone openings, open woodland, mountain meadows.",One brood from June-July.,"High plains from central Alberta east to southern Manitoba, south through the Rocky Mountain region to northern Mexico. Strays east to central Ontario."
235,Oarisma poweshiek,Hesperiidae,Hesperiinae,Upperside is black; forewing leading edge and veins are orange. Underside of hindwing is pale brown with white veins.,1 - 1 1/4 inches (2.5 - 3.2 cm).,Spikerush (Eleocharis elliptica).,"Nectar from flowers including black-eyed susans, purple coneflower, ox-eye daisy, stiff-leaved coreopsis, and white clover.",Undisturbed remnants of native tall-grass prairie.,One brood from June-August.,"The Dakotas, Minnesota, one site in Iowa, and one site in Michigan."
236,Ocaria ocrisia,Lycaenidae,Theclinae,Upper surface charcoal black to charcoal gray with narrow blue edging on hindwing.,7/8 - 1 inch (2.2 - 2.5 cm).,Flowers of Paullinia in Brazil; live oak in Costa Rica.,Not reported.,Disturbed tropical sites at low to moderate elevations.,One flight in South Texas in early November; throughout the year in Central America.,Argentina north to Mexico. One stray recorded in South Texas.
237,Oeneis alberta,Nymphalidae,Satyrinae,Upperside is light yellow-gray. Underside is light brown; forewing has a postmedian line bent sharply at the end of the cell; hindwing has a sharp-edged dark median band.,1 3/8 - 2 1/4 inches (3.5 - 5.7 cm).,"Bunchgrass, possibly Festuca.",Not reported.,"Virgin prairie, dry bunchgrass hills.",One brood from May-June.,"Canadian prairie provinces east to southern Manitoba. Isolated populations along the Rocky Mountains in Colorado, New Mexico, and Arizona."
238,Oeneis bore,Nymphalidae,Satyrinae,"Wings are translucent, veins are usually white. Upperside is gray-brown with no eyespots. Underside is light brown; hindwing has a dark median band outlined in white.",1 7/16 - 1 7/8 inches (3.7 - 4.8 cm).,Grasses or sedges.,Occasionally flower nectar.,"Tundra, grassy alpine slopes, and subarctic bogs.",One brood in late July.,"Holarctic. In North America, high arctic tundra from Alaska east to Labrador. Isolated populations in the alpine Rocky Mountains south to southwest Colorado. Isolated population on Mt. Albert, Quebec."
239,Oeneis chryxus,Nymphalidae,Satyrinae,"Upperside is cream to brownish-orange. Forewing has 1-4 small black eyespots near the outer margin; hindwing has 1-2. Male forewing has a dark patch of sex scales. Underside of hindwing has black and white striations, a wide dark median band, veins with white scales, and only 1 black spot near the lower inner margin of the wing.",1 3/4 - 2 1/8 inches (4.5 - 5.4 cm).,Poverty oat-grass (Danthonia spicata).,Flower nectar.,"Open grassy, rocky, and woodland areas; meadows; alpine tundra.",One brood from late May-early June every year; may be biennial because it is more numerous in even-numbered years in the Great Lakes region.,"Southern Alaska and Yukon Territory south through the western mountains to New Mexico; east across Canada to Manitoba. Isolated population in eastern Canada, Wisconsin, and Michigan."
240,Oeneis macounii,Nymphalidae,Satyrinae,"Upperside is bright orange-brown with black borders on both wings. Two black eyespots on forewing, one on hindwing. Male lacks a patch of black scales on the forewing. Underside of hindwing is cloudy gray with a distinct dark median band.",2 1/4 - 2 3/4 inches (5.7 - 7 cm).,Probably sedges (Carex species).,Occasionally flower nectar.,Openings in forests of western jack or lodgepole pine.,"One brood from early June to early July. East of southeast Manitoba, adults fly in even-numbered years; westward, in odd-numbered years.","Across southern Canada from British Columbia through the prairie provinces to northern Minnesota, northern Michigan, and central Ontario."
241,Oeneis nevadensis,Nymphalidae,Satyrinae,"Upperside is yellowish-tan with brown borders; forewing has 1 or 2 eyespots, hindwing usually has 1 spot. Male forewing has a long patch of dark sex scales. Underside of forewing is similar to the upperside; hindwing is mottled gray and brown with an indistinct median band.",2 1/4 - 2 1/2 inches (5.7 - 6.3 cm).,Probably grasses.,Not reported.,"Coniferous forest openings, rocky hills, and meadow edges in the mountains.",One brood from May-July.,"Vancouver Island, British Columbia south in the Cascade Mountains and the Sierra Nevada to Tulare County, California; south along the coast to Sonoma County, California."
